cats,category_count
Marines facility,8
Scouting,8
Federal courthouse,8
Bus depot,8
War museum,8
Eye care,8
Desktop publishing service,8
Music publisher,8
Battery manufacturer,8
Self service restaurant,8
Seminary,8
Senior high school,8
City Department of Public Safety,8
Envelope supplier,8
City administration,8
Interior decoration,8
Bikram yoga studio,8
Swedish restaurant,8
Childrens cafe,8
Professional and hobby associations,8
Asian,8
Swiss restaurant,8
North African restaurant,8
Coffee vending machine,7
Leisure centre,7
Office supply wholesaler,7
Electronics wholesaler,7
Civil defense,7
Coast guard station,7
Korean rib restaurant,7
Parking lot for motorcycles,7
Law book store,7
Embassy,7
Distributary,7
Weddings,7
Engineering school,7
English language instructor,7
Olive oil cooperative,7
Diaper service,7
Exhibition planner,7
Perinatal center,7
Music,7
Museum of space history,7
Department of education,7
Pet funeral service,7
Feng shui consultant,7
Fiberglass supplier,7
Film and photograph library,7
Vehicle exporter,7
Vegetation,7
Motoring club,7
Flooring,7
Food broker,7
Food delivery,7
Fortune telling services,7
French language school,7
Mobile money agent,7
Anime club,7
Car rental,7
Canadian restaurant,7
Train ticket agency,7
Minibus taxi service,7
Train depot,7
Camping cabin,7
Toy and game manufacturer,7
Aquaculture farm,7
Tower,7
Genesis dealer,7
Army museum,7
Youth care,7
Messianic synagogue,7
Greengrocer,7
Asian household goods store,7
Proctologist,7
Suzuki dealer,7
Surf lifesaving club,7
Hang gliding center,7
Diving contractor,7
Haute French restaurant,7
Health resort,7
Copper supplier,7
Electronic engineer,7
High ropes course,7
Public utility,7
Austrian restaurant,7
Nudist park,7
Concrete metal framework supplier,7
Aviation training institute,7
Railroad equipment supplier,7
Rainwater tank supplier,7
Electronics accessories wholesaler,7
Snowmobile dealer,7
Smart shop,7
Industrial consultant,7
Record company,7
Biofeedback therapist,7
Interior architect office,7
International school,7
Iron steel contractor,7
Registry office,7
Japanese sweets restaurant,7
Bicycle store,7
Barn,7
Seafood donburi restaurant,7
Oil and gas exploration service,6
Office equipment repair service,6
Notaries association,6
Passport agent,6
New Zealand restaurant,6
Newspaper distribution,6
Neonatal physician,6
Pediatric cardiologist,6
Building firm,6
Photography,6
Photography school,6
Pinball machine supplier,6
Modern British restaurant,6
Model portfolio studio,6
Plasterer,6
Plastic bag supplier,6
Modeling school,6
Mobile network operator,6
Playground equipment supplier,6
Playgroup,6
Pneumatic tools supplier,6
Po’ boys restaurant,6
Police,6
Polish restaurant,6
Mill,6
Books wholesaler,6
Port operating company,6
Prefabricated house companies,6
Private hospital,6
Promenade,6
Childrens library,6
Media house,6
Public bath,6
Public defender's office,6
Chinese food,6
Public sauna,6
Public transport,6
PVC windows supplier,6
Marine engineer,6
Manufactured home transporter,6
Christian college,6
Livestock producer,6
Lighthouse,6
City tax office,6
Residents association,6
Beauty products vending machine,6
Rock,6
Youth hostel,6
Roller skating club,6
Saddlery,6
Clothing wholesale market place,6
Sauna club,6
Scale repair service,6
Kaiseki restaurant,6
Basketball,6
Sculptor,6
Seafood farm,6
Isuzu dealer,6
Drinking water dispenser,6
Institute of technology,6
Computer desk store,6
Singing telegram service,6
Industrial chemicals wholesaler,6
Industrial building,6
Snowmobile rental service,6
Ice skating instructor,6
Social services,6
Ice cream equipment supplier,6
Solar photovoltaic power plant,6
Solid waste engineer,6
Condiments supplier,6
House clearance service,6
Sport tour agency,6
Stand bar,6
Study at home school,6
Suburban train line,6
Superfund site,6
Aston Martin dealer,6
Assembly room,6
Handicraft school,6
Hair,6
Table tennis club,6
Government economic program,6
Crane dealer,6
Crater,6
Technology park,6
Crisis center,6
Georgian restaurant,6
Geologist,6
Thread supplier,6
Archaeological site,6
Gas and automotive,6
Anodizer,6
Foreign languages program school,6
Truss manufacturer,6
Tunisian restaurant,6
Tunnel,6
Dam,6
Fish processing,6
Used store fixture supplier,6
Fireplace manufacturer,6
Vending machine,6
Fiber optic products supplier,6
Farm household tour,6
Department of Public Safety,6
Wellness hotel,6
Electrical appliance wholesaler,6
Eating disorder treatment center,6
Dock builder,6
Dyeworks,6
Clothing,5
Haberdashery,5
Ashram,5
Marketing,5
Memorial estate,5
Disability equipment supplier,5
Handball court,5
Consumer advice center,5
Martial arts,5
Earth works company,5
Coffin supplier,5
Agricultural,5
Propeller shop,5
Cosmetic surgeon,5
English language camp,5
Measuring instruments supplier,5
Student career counseling office,5
Psychoneurological specialized clinic,5
License plate frames supplier,5
Stone cutter,5
Environment renewable natural resources,5
Salvage dealer,5
Stitching class,5
Hindu priest,5
Std clinic,5
Water tank cleaning service,5
Water skiing service,5
Japanized western restaurant,5
Erotic massage,5
Ethnographic museum,5
Exhibition and trade centre,5
Japanese regional restaurant,5
Musician and composer,5
Music box store,5
Desert,5
Airbrushing supply store,5
Volcano,5
Farm bureau,5
Capoeira school,5
Irish goods store,5
Community school,5
Festival hall,5
Community service,5
Pharmaceutical lab,5
Kerosene supplier,5
International trade consultant,5
Open university,5
Airstrip,5
Shipping equipment industry,5
Builder,5
Beds,5
Roommate referral service,5
Opera company,5
Bilingual school,5
Typing service,5
Pine furniture shop,5
Trust bank,5
Customs consultant,5
Fund management company,5
Mineral water company,5
Skating instructor,5
Skin care,5
Polygraph service,5
Appliance rental service,5
Milk delivery service,5
Embossing service,5
Birth certificate service,5
Yemenite restaurant,5
Gasfitter,5
Tool & die shop,5
Tofu shop,5
Port,5
Screw supplier,5
Ice skating club,5
Crop grower,5
Kinesiologist,5
Tibetan restaurant,5
Wine,5
Architectural and engineering model maker,5
Terrain,5
Catalonian restaurant,5
Macrobiotic restaurant,5
Judo club,5
Bookmaker,5
Aeroclub,5
Solar hot water system supplier,5
Leagues club,5
Choir,5
Power plant consultant,5
South African restaurant,5
Telecommunications engineer,5
Tea manufacturer,5
Drone shop,5
Oriental medicine store,5
Office of Vital Records,5
Wool store,5
Cabaret club,5
Courier & shipping services,5
Gymnasium school,5
Jewelry exporter,5
Recycling,4
Port authority,4
Outdoor bath,4
Marine protected area,4
Ayurvedic clinic,4
Crime victim service,4
Fitted furniture supplier,4
Amateur theater,4
Chemical industry,4
Ukrainian restaurant,4
Geological service,4
Okonomiyaki restaurant,4
Roman restaurant,4
Pagoda,4
Office accessories wholesaler,4
Food seasoning manufacturer,4
Confectionery wholesaler,4
Brazilian pastelaria,4
Orchid farm,4
Silk store,4
Czech restaurant,4
Wedding souvenir shop,4
Plumbing,4
Tea market place,4
Children Policlinic,4
Full dress rental service,4
Rolls Royce dealer,4
Transit depot,4
Medical transcription service,4
Hotel supply store,4
Childrens farm,4
Dye store,4
Gold mining company,4
Tennis court construction company,4
Electric vehicle charging station contractor,4
Ski club,4
Cosmetics wholesaler,4
Childrens home,4
Printer ink refill store,4
Squash court,4
Antenna service,4
Concrete factory,4
Property administrator,4
Wood frame supplier,4
Dynamometer supplier,4
Futsal court,4
Endoscopist,4
Nudist club,4
Boarding school,4
Ski school,4
Lawyer,4
Cooling plant,4
Gambling house,4
Pacific Northwest restaurant (US),4
McLaren dealer,4
Public amenity house,4
Polymer supplier,4
Windsurfing store,4
Abundant Life church,4
Pediatric dermatologist,4
Indian sweets shop,4
Steelwork manufacturer,4
Steel erector,4
Steel drum supplier,4
Higher education,4
Steamed bun shop,4
Military residence,4
Higher secondary school,4
Maternity hospital,4
Indian sizzler restaurant,4
Cold noodle restaurant,4
Nuclear power plant,4
Rice mill,4
Salsa bar,4
Syokudo and Teishoku restaurant,4
Military hospital,4
Garment exporter,4
Equipment importer,4
Congregation,4
Water polo pool,4
Beach cleaning service,4
Tortilla shop,4
Basketball court contractor,4
Couture store,4
Disposable tableware supplier,4
Waterbed store,4
Carpool,4
Archaeological museum,4
Soondae restaurant,4
Registered general nurse,4
Chess club,4
Laundry room,4
Porridge restaurant,4
Fair trade organization,4
Open air museum,4
Cash and carry wholesaler,4
Western restaurant,4
Cottage village,4
Dental,4
Chess instructor,4
Blind school,4
Driving test centre,4
Laminating equipment supplier,4
Architecture school,4
Chicken hatchery,4
Justice department,4
Cannery,4
Velodrome,4
Vehicle examination office,4
Yucatan restaurant,4
VCR repair service,4
Leather goods supplier,4
Shipbuilding and repair company,4
Finishing materials supplier,4
Dominican restaurant,4
Banking and finance,4
PVC industry,4
Deaf church,4
Rock music club,4
Croatian restaurant,4
Drafting equipment supplier,3
Scientific equipment supplier,3
Karate club,3
Junk store,3
Seafood,3
Security,3
Barrister,3
Barrel supplier,3
City employment department,3
Bicycles,3
City department of transportation,3
Serbian restaurant,3
Comic cafe,3
Shawarma restaurant,3
Ship building,3
Livery company,3
Intellectual property registry,3
Company registry,3
Lock Store,3
Ballet theater,3
Real estate fair,3
Economic development agency,3
Love hotel,3
Computers,3
Smart Car dealer,3
Luggage wholesaler,3
Rapids,3
Immigration detention centre,3
Machine construction,3
Womens college,3
Machinery parts manufacturer,3
Hygiene station,3
Radio tower,3
Mailing machine supplier,3
Eatery,3
Spa garden,3
Houseboat rental service,3
Quaker church,3
Sperm bank,3
Sports accessories wholesaler,3
Horse transport supplier,3
Conservatory construction contractor,3
Sportwear manufacturer,3
Squash club,3
Chinese language school,3
Stall installation service,3
Convenience stores organization,3
State Department of Environment,3
Public medical center,3
Historic city center,3
Steel framework contractor,3
Stone carving,3
Cooperative,3
Mechanical plant,3
Provence restaurant,3
Media,3
Surgical supply store,3
Handicraft fair,3
Swimming competition,3
Private equity firm,3
Gypsum product supplier,3
Child psychiatrist,3
Council,3
Printing,3
Tax,3
Doll restoration service,3
Metal machinery supplier,3
Tea and coffee merchant,3
Armed forces association,3
Goldfish store,3
Technical university,3
Cricket club,3
Cricket ground,3
Pozole restaurant,3
Area,3
Glass,3
Girls' high school,3
Geyser,3
German language school,3
Textile exporter,3
Textiles,3
Office refurbishment service,3
Oriental medical clinic,3
Archery event,3
Toiletries store,3
Gardening products and services,3
Traditional market,3
Traffic police station,3
Polo club,3
Furniture,3
Orthoptist,3
Train ticket counter,3
Mobile disco,3
Bowling club,3
Chemistry lab,3
Travel services,3
Places of interest,3
Footwear wholesaler,3
Bricklayer,3
Care services,3
Opera house,3
Mold maker,3
Dance conservatory,3
Unemployment office,3
Foam rubber producer,3
Physiotherapy equipment supplier,3
Uzbeki restaurant,3
Cement manufacturer,3
Vegetable wholesaler,3
Building designer,3
Ventilating equipment manufacturer,3
Veterans,3
Office services,3
Federal police,3
Video karaoke,3
Village hall,3
Farm school,3
Department of finance,3
Factory equipment supplier,3
Museum of zoology,3
Detective,3
Cattle farm,3
Native American restaurant,3
Agricultural engineer,3
Agricultural cooperative,3
Patients support association,3
Aeromodel shop,3
Welding,3
Aero dance class,3
Carpet manufacturer,3
Double glazing installer,3
Emergency call booth,3
Adult foster care service,3
Electronics engineer,3
Numerologist,3
Paper bag supplier,3
Wind farm,3
Romanian restaurant,3
Land surveying office,3
Clergyman,3
Rugby field,3
Land planning authority,3
Beach volleyball club,3
Clothes and fabric wholesaler,3
Saab dealer,3
Rice cake shop,3
Sand plant,3
Roadside assistance,2
Slaughterhouse,2
Regional government office,2
Toy museum,2
Turkmen restaurant,2
Jain temple,2
Pantry,2
Faculty of sports,2
Pilgrimage place,2
Volleyball instructor,2
Brick manufacturer,2
Metal heat treating service,2
School house,2
Government school,2
Curling club,2
Japanese cheap sweets shop,2
Government hospital,2
Palace,2
Trade fair construction company,2
Games,2
Shop supermarket furniture store,2
Industrial area,2
Folk high school,2
Japanese delicatessen,2
Design institute,2
Cane furniture store,2
Flowers,2
Traditional costume club,2
Japanese food,2
Music instruction,2
Puppet theater,2
Recreational vehicle,2
Dance pavillion,2
Rice shop,2
Clock tower,2
Diabetologist,2
Line marking service,2
Ethnic foods,2
Bariatric surgeon,2
Real estate auctioneer,2
Lighting,2
Alumni association,2
Dan Dan noodle restaurant,2
Pediatric orthopedic surgeon,2
Traditional teahouse,2
Equipment exporter,2
Glassware manufacturer,2
National museum,2
Taxis,2
Lido,2
Bazar,2
Lost property office,2
Cold cut store,2
Aromatherapy class,2
Flamenco theater,2
School for the deaf,2
Wax museum,2
Pedestrian zone,2
Railroad ties supplier,2
Hypermarket,2
Wildlife and safari park,2
Shopfitter,2
Piano,2
Alternative medicine clinic,2
Butane gas supplier,2
Scout hall,2
Mountain cable car,2
Outdoor activities,2
Bugatti dealer,2
Seaplane base,2
Tank,2
Training,2
Rolled metal products supplier,2
Electronics exporter,2
Fireworks supplier,2
Luggage storage facility,2
Data entry service,2
South Indian restaurant,2
Samba school,2
Katsudon restaurant,2
Statue,2
Elevator manufacturer,2
Public female bathroom,2
Kazakhstani restaurant,2
Train ticket office,2
Public call office booth,2
Tea exporter,2
Thai massage,2
Historical market square,2
Log home builder,2
Yakisoba Restaurant,2
Steelwork design company,2
Public male bathroom,2
Moving company,2
Industrial engineer,2
Convent,2
Pre gymnasium school,2
Real estate surveyor,2
Vegetable wholesale market,2
Auto chemistry shop,2
Ecuadorian restaurant,2
Height works,2
Staple food package,2
Stamp collectors club,2
Military barracks,2
Mfr,2
Lingerie wholesaler,2
Room,2
Stainless steel plant,2
Holding company,2
Correctional services department,2
Customs department,2
Psychoanalyst,2
Sanitary inspection,2
Scottish restaurant,2
Television tower,2
Filtration plant,2
Municipal administration office,2
CNG fittment center,2
Rescue squad,2
Smart dealer,2
Non smoking holiday home,2
Sukiyaki restaurant,2
Dried seafood store,2
Yeshiva,2
Chinese medicine,2
School lunch center,2
District council,2
Biochemistry lab,2
Oxygen cocktail spot,2
Juvenile court,2
Takoyaki restaurant,2
Boxing ring,2
Home hairdresser,2
Video,2
Surf spot,2
Plastic resin manufacturer,2
Feng shui shop,2
Plastic bags wholesaler,2
Boys' high school,2
Drilling equipment supplier,2
Homes,2
Leather goods wholesaler,2
District Justice,2
Truck farmer,2
Conservatory of music,2
Hammam,2
Cosplay cafe,2
BPO company,2
Inlet,2
Foreign exchange students organization,2
Pets,2
Haitian restaurant,2
Household chemicals supplier,2
Acrobatic diving pool,2
Sports coaching,2
Horseshoe smith,2
Shandong restaurant,2
Garden machinery supplier,2
Abbey,2
Rugby,2
Rugby club,2
Marine surveyor,2
Baggage claim,2
Ticketing area,2
Food products,2
Men's health physician,2
Priest,2
Farming,2
Hot bedstone spa,2
Microbiologist,2
Instruction,2
Parsi temple,2
Pet food and animal feeds,2
Country house,2
Sexologist,2
Padel club,2
Internet,1
Airport security checkpoint,1
Shared-use commercial kitchen,1
Decoration,1
Ferris wheel,1
Municipal corporation,1
Municipal Department Finance,1
Fencing salon,1
Delegated driver service,1
Felt boots store,1
Video equipment and services,1
Building society,1
Federal reserve bank,1
Co-ed school,1
Municipal Department Science Technology,1
Windows,1
Favela,1
Fault,1
Fashion design school,1
Lava field,1
Bungee jumping center,1
Doula,1
Municipal Department Social Defense,1
Kushiyaki restaurant,1
Sfiha restaurant,1
Department for Regional Development,1
Pet care service,1
Department of housing,1
Family planning counselor,1
Obanzai restaurant,1
Municipal health department,1
Faculty of science,1
Faculty of psychology,1
Road safety town,1
Waldorf kindergarten,1
Waldorf school,1
Walkway,1
Banner printing service,1
Cat trainer,1
Personal repair service,1
Aikido club,1
Buses,1
Cattle market,1
Music college,1
Business card design and printing service,1
Perfume exporter,1
Lingerie manufacturer,1
Server room,1
River confluence,1
Evening dress rental service,1
Pediatric pulmonologist,1
Seminar room,1
Water skiing club,1
Javanese restaurant,1
National health foundation,1
College of agriculture,1
Dietitian,1
Digital media,1
Pediatric clinic,1
Domestic services,1
Natural beauty spot,1
Basket supplier,1
Payphone,1
Coin operated locker,1
Seasonal lake,1
Seaport,1
Natural stone exporter,1
Rice cracker shop,1
Disabled sports center,1
City pillar shrine,1
Employment services,1
Judicial auction,1
Patent office,1
Aeronautical engineer,1
School dentist,1
Clothing manufacturer,1
Pan,1
Well,1
Stationery wholesaler,1
Steamboat restaurant,1
Stationery manufacturer,1
State social development,1
Public housing,1
High court,1
Beverage supplier,1
Heritage preservation,1
Mausoleum builder,1
Hepatologist,1
Wellness,1
State Department Agricultural Development,1
Helpline,1
State archive,1
Heating,1
Sea,1
Stringed instrument maker,1
Match box manufacturer,1
Health counselor,1
Chinese language instructor,1
Staffing agency,1
Electrical,1
Cosmetics,1
Hawker stall,1
Stadium seating area,1
Sugar factory,1
Medical book store,1
Summer toboggan run,1
Sundanese restaurant,1
Hardware training institute,1
Public transportation system,1
Public webcam,1
Supreme court,1
Home and construction,1
Markmens clubhouse,1
Dutch restaurant,1
Dune,1
Calligraphy lesson,1
Handicraft museum,1
Knitwear manufacturer,1
Professional association,1
Market operator,1
Meeting point,1
Costa Rican restaurant,1
Justice of the peace,1
Hakka restaurant,1
Memorial,1
Horse carriage station,1
Canoe and kayak club,1
Horsestable studfarm,1
Gyudon restaurant,1
Party,1
Wind turbine builder,1
Children hall,1
Table,1
DS Automobiles dealer,1
Leather exporter,1
Host club,1
Taekwondo competition area,1
Cotton supplier,1
Mercantile development,1
Conservative club,1
Print services,1
Court executive officer,1
Grassy area,1
Hotel management school,1
Tatami store,1
Aboriginal art gallery,1
Government college,1
Parochial school,1
Metallurgy company,1
Southwest France restaurant,1
Creche,1
Parking Souterrain,1
Army,1
Automotive,1
Housing,1
Norwegian restaurant,1
Precision engineer,1
Goan restaurant,1
Electronics industry,1
Prawn fishing,1
Orphanage,1
Glassware wholesaler,1
Novelties wholesaler,1
Womens protection service,1
Residential college,1
Cricket shop,1
Auto part and accessory manufacturer,1
Research engineer,1
Metal services,1
Housing utility company,1
Manor house,1
Management school,1
Tempura donburi restaurant,1
Pottery,1
Tenant ownership,1
Tenant's union,1
Tennis,1
Electronics device,1
Hydraulic engineer,1
Hygiene articles wholesaler,1
Criminal court,1
Car care,1
Chettinad restaurant,1
Coffee,1
Geriatrician,1
Textile engineer,1
Knife manufacturing,1
Textile mill,1
Nursery,1
Ice,1
Architects association,1
Oldsmobile dealer,1
Books,1
Thermal baths,1
Threads and yarns wholesaler,1
Cardiovascular and thoracic surgeon,1
Archipelago,1
Machinery,1
Machine knife supplier,1
Ice hockey club,1
Social Impact Investor,1
Croquet club,1
Tire,1
Genealogist,1
Archery hall,1
Windmill,1
Inclined railway station,1
Gazebo,1
Economic consultant,1
Karaoke equipment rental service,1
Snack vending machine,1
Military airport,1
Badminton complex,1
Military archive,1
Pool academy,1
Organ donation and tissue bank,1
Toolroom,1
Smoking room,1
Gasket manufacturer,1
Smoking area,1
Tourism,1
Capsule hotel,1
Gas,1
LPG conversion,1
Pony club,1
Pontiac dealer,1
Town,1
Apprenticeship center,1
Low emission zone,1
Toys,1
Computer rental agency,1
Game software,1
Traditional Kostume store,1
Traffic officer,1
Legally defined lodging,1
Furrier,1
Furniture piece,1
Nursing association,1
Biotechnology engineer,1
Real estate rental,1
Mining consultant,1
Train repairing center,1
Fur manufacturer,1
X-ray equipment supplier,1
Fur coat shop,1
Ministry of Education,1
Transit platform group,1
Fugu restaurant,1
Miso cutlet restaurant,1
Chess and card club,1
Industrial supermarket,1
Rowing area,1
Animal watering hole,1
Playroom,1
Plateau,1
Plast window store,1
Rocky,1
Freestyle wrestling,1
Model car play area,1
Foreign trade consultant,1
Anago restaurant,1
Land reform institute,1
Insolvency service,1
Institute,1
Food production,1
Pipe manufacturer,1
Coalfield,1
Instrumentation engineer,1
Rugby league club,1
Monorail station,1
Typewriter supplier,1
Lobby,1
Kilt shop and hire,1
Food and beverage distributors,1
Legal affairs bureau,1
American football field,1
Land mass,1
United States Armed Forces Base,1
Chemical engineer,1
Motorcycle club,1
Chanko restaurant,1
Urban development corporation,1
Motorcycles,1
Floating market,1
Piano maker,1
Motorcycle training centre,1
Flamenco dance store,1
Flamenco,1
Aluminum frames supplier,1
Land allotment,1
Fishing,1
Alsace restaurant,1
Rectory,1
Mountaineering class,1
User-operated machine,1
Insurance school,1
Fire fighters academy,1
Fire extinguisher,1
Alcohol retail monopoly,1
Shochu brewery,1
Bangle Shop,1
Reenactment site,1
Circular distribution service,1
Interior fitting contractor,1
Citroen dealer,1
Scaffolder,1
Ceiling supplier,1
Learner driver training area,1
Multimedia and electronic book publisher,1
Building equipment hire service,1
Airport terminal,1
Philharmonic hall,1
Refugee camp,1
Regional council,1
Residential area,1
Sheepskin and wool products supplier,1
Ladder supplier,1
Pharmaceutical products wholesaler,1
